id,vintage,wine,format,Region,Quantity,Reserve,Condition Issue,country,dessert_hit,bare_pt,shipper_hit,producer_id_drop,cond_decision,wine_type,classify_reason,country_code
10882755,2008,Alain Thienot Blanc De Blancs Cuvee Stanislas,750ml,"France, Champagne",1,95,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10882687,2012,Alain Thienot Brut Vintage,750ml,"France, Champagne",1,55,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10882688,2015,Alain Thienot Brut Vintage,750ml,"France, Champagne",1,55,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10882756,2008,Alain Thienot Cuvee Alain Thiénot Brut,750ml,"France, Champagne",1,100,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10889736,2006,Alain Voge Côtes du Rhône Les Peyrouses,750ml,"France, Rhône Valley, Southern Rhône",10,25,Light label condition issue,France,False,False,False,False,keep,Red,pass3: generic Cotes du Rhone production is predominantly red (hedged),FR
10888085,1993,Albert Morot La Bataillere Savigny-Vergelesses,750ml,"France, Burgundy, Côte d'Or",4,55,"Light capsule condition issue
Light label condition issue",France,False,False,False,False,keep,Red,pass5 manual: Savigny-lès-Beaune village -- Albert Morot is a red Beaune negociant,FR
10888129,1993,Albert Morot La Bataillere Savigny-Vergelesses,750ml,"France, Burgundy, Côte d'Or",4,55,,France,False,False,False,False,keep,Red,pass5 manual: Savigny-lès-Beaune village -- Albert Morot is a red Beaune negociant,FR
10895206,2012,Allegrini Palazzo della Torre,750ml,"Italy, Veneto, Veronese",2,15,"Light label condition issue
Light writing on label",Italy,False,False,False,False,keep,Red,pass4 manual: Corvina-based Valpolicella-style red blend,IT
10888330,1995,Alois Kracher Grande Cuvee Trockenbeerenauslese #12,375ml,"Austria, Burgenland",1,90,"Light capsule condition issue
Light label condition issue",Austria,False,False,False,False,keep,Dessert,"pass5 manual: Trockenbeerenauslese (TBA) spelled out in full -- a Step 1 dessert-screen miss; keyword list only caught the abbreviation \bTBA\b, not the spelled-out German term. Fixing the regex for next week.",AT
10882848,1997,Altesino Brunello di Montalcino Montosoli,750ml,"Italy, Tuscany, Brunello di Montalcino",2,150,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10890120,2008,Antica Fratta Essence Brut Rosé,750ml,"Italy, Lombardy, Franciacorta",3,25,,Italy,False,False,False,False,keep,Sparkling,sparkling keyword,IT
10890121,2008,Antica Fratta Essence Brut Rosé,750ml,"Italy, Lombardy, Franciacorta",3,25,Light label condition issue,Italy,False,False,False,False,keep,Sparkling,sparkling keyword,IT
10888131,2007,Antoine Jobard Meursault Poruzots,750ml,"France, Burgundy, Côte d'Or",2,80,,France,False,False,False,False,keep,White,white appellation default,FR
10882847,2010,Argiano Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",8,65,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10882861,2018,Argiano Brunello di Montalcino,750ml,"Italy, Tuscany, Brunello di Montalcino",3,120,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10896507,2020,Arianna Occhipinti SM Vino di Contrada Sicilia Bianco,750ml,"Italy, Sicily",2,50,,Italy,False,False,False,False,keep,White,white colour word,IT
10890020,2008,Aurelio Settimo Barolo,750ml,"Italy, Piedmont, Barolo",11,35,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10890021,2007,Aurelio Settimo Barolo Rocche dell'Annunziata,750ml,"Italy, Piedmont, Barolo",5,50,,Italy,False,False,False,False,keep,Red,red appellation default,IT
10889759,2007,Aurelio Settimo Barolo Rocche dell'Annunziata,750ml,"Italy, Piedmont, Barolo",1,50,Light label condition issue,Italy,False,False,False,False,keep,Red,red appellation default,IT
10882382,2022,Baronne de Vignonet,750ml,"France, Bordeaux, Cotes de Blaye",1,15,,France,False,False,False,False,keep,Red,"pass5 manual: Cotes de Blaye is predominantly red Merlot-based Bordeaux -- hedged, no colour word given",FR
10889825,NV,Beaumont des Crayeres Grand Prestige Brut,750ml,"France, Champagne",18,20,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10896502,2019,Benanti Benanti Lamoremio Brut Rosato,750ml,"Italy, Sicily, Etna",2,40,,Italy,False,False,False,False,keep,Sparkling,sparkling keyword,IT
10888320,2011,Benanti Etna Bianco Superiore Pietramarina,750ml,"Italy, Sicily, Etna",1,55,,Italy,False,False,False,False,keep,White,white colour word,IT
10888400,2005,Benanti Etna RossoDiversella,750ml,"Italy, Sicily, Etna",1,20,"Light capsule condition issue
Light label condition issue",Italy,False,False,False,False,keep,Red,pass2: 'Passorosso' embeds rosso (red) as a portmanteau cuvee name,IT
10889839,2001,Beni di Batasiolo Barolo,750ml,"Italy, Piedmont, Barolo",1,35,Light label condition issue,Italy,False,False,False,False,keep,Red,red appellation default,IT
10888310,2018,Benoit Lahaye Coteaux Champenois Rouge Bouzy,750ml,"France, Champagne, Coteaux Champenois",3,60,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10890132,2004,Beppe Marino Quattrofilari,750ml,"Italy, Piedmont, Barbera d'Asti",12,25,,Italy,False,False,False,False,keep,Red,pass2: Barbera is a red grape,IT
10889166,2020,Bessin-Tremblay Chablis Valmur,750ml,"France, Burgundy, Chablis",1,80,,France,False,False,False,False,keep,White,white appellation default,FR
10890103,2007,Bibi Graetz/Testamatta Grilli Del Testamatta,750ml,"Italy, Tuscany",6,30,,Italy,False,False,False,False,keep,Red,pass5 manual: Bibi Graetz's Testamatta is a Sangiovese Super Tuscan red; this is a second-label red from the same cuvee,IT
10896509,2010,Billecart-Salmon Brut Rosé,750ml,"France, Champagne",1,100,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10896499,NV,Billecart-Salmon Brut Rosé,750ml,"France, Champagne",3,75,,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10896491,NV,Billecart-Salmon Brut Rosé,750ml,"France, Champagne",2,75,191178,France,False,False,False,False,keep,Sparkling,sparkling keyword,FR
10889855,2007,Bodegas Aalto Ribera del Duero,750ml,"Spain, Castilla-Leon, Ribera del Duero",1,60,,Spain,False,False,False,False,keep,Red,pass2: Ribera del Duero is essentially all red Tempranillo,ES
10888343,2000,Bodegas Muga Rioja Prado Enea Gran Reserva,750ml,"Spain, Rioja",1,90,,Spain,False,False,False,False,keep,Red,red appellation default,ES
10890015,2008,Bodegas Olarra Rioja Otonal Reserva,750ml,"Spain, Rioja",3,25,,Spain,False,False,False,False,keep,Red,red appellation default,ES
