id,wine,vintage,format,wine_type,region,country_code,reserve,market,source,source_type
10880264,A. Levasseur Brut Rosé Extrait Gourmand,NV,750ml,Sparkling,"France, Champagne",FR,40,60,"Wine-Searcher average retail (USA), NV product",ws_allvintage
10880681,Alain Graillot Crozes-Hermitage,2005,750ml,Red,"France, Rhône Valley, Northern Rhône",FR,75,107,"Wine-Searcher average retail, vintage-specific (conflicting snippets $107-$140 across WS pages; used the lower, more conservative figure)",ws_vintage
10880747,Alain Graillot Crozes-Hermitage,2005,750ml,Red,"France, Rhône Valley, Northern Rhône",FR,75,107,"Wine-Searcher average retail, vintage-specific (conflicting snippets $107-$140 across WS pages; used the lower, more conservative figure)",ws_vintage
10880622,Alejandro Fernandez Pesquera Tinto Crianza,2006,750ml,Red,"Spain, Castilla-Leon, Ribera del Duero",ES,40,,Insufficient data,insufficient
10880781,Allegrini Palazzo della Torre,2008,750ml,Red,"Italy, Veneto, Veronese",IT,25,52,"Wine-Searcher average retail, vintage-specific (distinct from current-release ~$18 average)",ws_vintage
10881957,Alter Ego,2008,750ml,Red,"France, Bordeaux, Margaux",FR,100,105,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880772,Altesino Brunello di Montalcino,1999,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,60,,Insufficient data,insufficient
10880777,Altesino Brunello di Montalcino,1999,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,60,,Insufficient data,insufficient
10881264,Amiral de Beychevelle,1983,750ml,Red,"France, Bordeaux, St.-Julien",FR,45,,Insufficient data,insufficient
10881255,Argiano Brunello di Montalcino,2010,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,65,122,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880867,Avignonesi Grifi,2012,750ml,Red,"Italy, Tuscany",IT,30,34,"Wine-Searcher average retail, adjacent vintage (2011; 2012 not listed)",ws_adjacent
10880262,Bernard Lonclas Brut,2013,750ml,Sparkling,"France, Champagne",FR,45,,Insufficient data,insufficient
10881313,Billecart-Salmon Brut Rosé,NV,750ml,Sparkling,"France, Champagne",FR,75,114,"Wine-Searcher average retail, NV Brut Rose",ws_allvintage
10881276,Bodegas Y Vinedos Maurodos Toro San Roman,2006,750ml,Red,"Spain, Castilla-Leon, Toro",ES,55,,Insufficient data,insufficient
10881509,Bosquet des Papes Chateauneuf Du Pape Chante Le Merle Vieilles Vignes,2007,750ml,Red,"France, Rhône Valley, Southern Rhône",FR,55,73,"Wine Spectator listed price, vintage-specific",ws_single_retailer
10881007,Cabreo Il Borgo,2009,750ml,Red,"Italy, Tuscany",IT,30,,Insufficient data,insufficient
10879137,Cantine del Castello di Conti Origini,2023,750ml,Red,"Italy, Piedmont",IT,20,31,"Retail listings (Town Wine & Spirits, Wine-Searcher-listed retailer), vintage-specific",ws_single_retailer
10879064,Casanova di Neri Brunello di Montalcino,2020,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,50,77,"Wine-Searcher average retail, vintage-specific (base/White Label bottling)",ws_vintage
10881614,Castello Banfi Brunello di Montalcino,1995,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,50,160,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880717,Castello Banfi Brunello di Montalcino,2000,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,45,71,"Wine-Searcher average retail, all-vintage fallback (no 2000-specific figure surfaced)",ws_allvintage
10880245,Castello Banfi Brunello di Montalcino,2012,750ml,Red,"Italy, Tuscany, Brunello di Montalcino",IT,40,61,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880770,Castello di Verduno Barbaresco,2000,750ml,Red,"Italy, Piedmont, Barbaresco",IT,35,,Insufficient data,insufficient
10881004,Charles Gardet Brut Rose Chigny Les Roses,NV,750ml,Sparkling,"France, Champagne",FR,35,,Insufficient data,insufficient
10881962,Château Angludet,2009,750ml,Red,"France, Bordeaux, Margaux",FR,55,65,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881963,Château Angludet,2009,750ml,Red,"France, Bordeaux, Margaux",FR,55,65,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881951,Château Angludet,2009,1.5ltr,Red,"France, Bordeaux, Margaux",FR,110,143,"Wine-Searcher average retail, vintage-specific (750ml $65 scaled to magnum at 2.2x)",ws_vintage
10881956,Château Angludet,2009,1.5ltr,Red,"France, Bordeaux, Margaux",FR,110,143,"Wine-Searcher average retail, vintage-specific (750ml $65 scaled to magnum at 2.2x)",ws_vintage
10881948,Château Angludet,2014,1.5ltr,Red,"France, Bordeaux, Margaux",FR,110,167.2,"Wine-Searcher average retail (USA), vintage-specific (750ml $76 scaled to magnum at 2.2x)",ws_vintage
10881953,Château Angludet,2014,1.5ltr,Red,"France, Bordeaux, Margaux",FR,110,167.2,"Wine-Searcher average retail (USA), vintage-specific (750ml $76 scaled to magnum at 2.2x)",ws_vintage
10881949,Château Angludet,2014,1.5ltr,Red,"France, Bordeaux, Margaux",FR,110,167.2,"Wine-Searcher average retail (USA), vintage-specific (750ml $76 scaled to magnum at 2.2x)",ws_vintage
10881947,Château Angludet,2014,1.5ltr,Red,"France, Bordeaux, Margaux",FR,110,167.2,"Wine-Searcher average retail (USA), vintage-specific (750ml $76 scaled to magnum at 2.2x)",ws_vintage
10880225,Château Belair-Monange,2014,750ml,Red,"France, Bordeaux, St.-Émilion",FR,80,138,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881950,Château Bernadotte,2009,1.5ltr,Red,"France, Bordeaux, Haut-Médoc",FR,60,94.6,"Wine-Searcher average retail, vintage-specific (750ml $43 scaled to magnum at 2.2x)",ws_vintage
10881413,Château Beychevelle Les Brulieres de Beychevelle,1982,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,50,,Insufficient data,insufficient
10881702,Château Beychevelle Les Brulieres de Beychevelle,1983,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,50,,Insufficient data,insufficient
10881265,Château Bourgneuf-Vayron,1982,750ml,Red,"France, Bordeaux, Pomerol",FR,55,106,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881281,Château Branaire-Ducru,1981,750ml,Red,"France, Bordeaux, St.-Julien",FR,75,96,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881282,Château Branaire-Ducru,1983,750ml,Red,"France, Bordeaux, St.-Julien",FR,75,,Insufficient data,insufficient
10881283,Château Branaire-Ducru,1989,750ml,Red,"France, Bordeaux, St.-Julien",FR,80,118,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881820,Château Branaire-Ducru,1990,750ml,Red,"France, Bordeaux, St.-Julien",FR,90,,Insufficient data,insufficient
10881280,Château Branaire-Ducru,2006,750ml,Red,"France, Bordeaux, St.-Julien",FR,55,75,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880385,Château Brane-Cantenac,2021,750ml,Red,"France, Bordeaux, Margaux",FR,60,74,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880635,Château Cambon la Pelouse,2005,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,20,37,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880636,Château Cambon la Pelouse,2005,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,20,37,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881958,Château Cambon la Pelouse,2009,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,30,41,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881959,Château Cambon la Pelouse,2009,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,30,41,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881960,Château Cambon la Pelouse,2009,750ml,Red,"France, Bordeaux, Haut-Médoc",FR,30,41,"Wine-Searcher average retail, vintage-specific",ws_vintage
10880372,Château Cantenac-Brown,2022,750ml,Red,"France, Bordeaux, Margaux",FR,65,75,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881972,Château Clerc-Milon,1989,750ml,Red,"France, Bordeaux, Pauillac",FR,140,160,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881971,Château Clerc-Milon,1989,750ml,Red,"France, Bordeaux, Pauillac",FR,140,160,"Wine-Searcher average retail, vintage-specific",ws_vintage
10881973,Château Clerc-Milon,1989,750ml,Red,"France, Bordeaux, Pauillac",FR,140,160,"Wine-Searcher average retail, vintage-specific",ws_vintage
10878880,Château Clos de Sarpe,2019,750ml,Red,"France, Bordeaux, St.-Émilion",FR,55,90,"Wine-Searcher average retail, all-vintage fallback (no 2019-specific figure surfaced)",ws_allvintage
